row,Xdd,Ydd
1,54.59121121,36.9007702
2,54.59122353,36.90085975
3,54.59123586,36.9009493
4,54.59124819,36.90103885
5,54.59126052,36.9011284
6,54.59127285,36.90121795
7,54.59128517,36.9013075
8,54.5912975,36.90139705
9,54.59130983,36.9014866
10,54.59132216,36.90157614
11,54.59133449,36.90166569
12,54.59134682,36.90175524
13,54.59135401,36.90184506
14,54.5913564,36.90193514
15,54.5913588,36.90202521
16,54.5913612,36.90211528
17,54.59136359,36.90220536
18,54.59136604,36.90229726
19,54.59147528,36.90230696
20,54.59158678,36.90231685
21,54.59169828,36.90232675
22,54.59180979,36.90233665
23,54.59192129,36.90234654
24,54.5920328,36.90235644
25,54.5921443,36.90236633
26,54.5922558,36.90237623
27,54.59236731,36.90238612
28,54.59247881,36.90239602
29,54.59259032,36.90240591
30,54.59270182,36.90241581
31,54.59281333,36.9024257
32,54.59292483,36.9024356
33,54.59303633,36.90244549
34,54.59314784,36.90245539
35,54.59325934,36.90246528
36,54.59337085,36.90247517
37,54.59348235,36.90248507
38,54.59359386,36.90249496
39,54.59370536,36.90250486
40,54.59381687,36.90251475
41,54.59392837,36.90252464
42,54.59403988,36.90253454
43,54.59415138,36.90254443
44,54.59426288,36.90255432
45,54.59437439,36.90256422
46,54.59448589,36.90257411
47,54.5945974,36.902584
48,54.5947089,36.9025939
49,54.59482041,36.90260379
50,54.59493191,36.90261368
51,54.59504342,36.90262357
52,54.59515492,36.90263347
53,54.59526643,36.90264336
54,54.59537793,36.90265325
55,54.59548944,36.90266314
56,54.59560094,36.90267304
57,54.59571245,36.90268293
58,54.59582395,36.90269282
59,54.59593546,36.90270271
60,54.59604697,36.9027126
61,54.59615847,36.90272249
62,54.59626998,36.90273239
63,54.59638148,36.90274228
64,54.59649299,36.90275217
65,54.59660449,36.90276206
66,54.596716,36.90277195
67,54.5968275,36.90278184
68,54.59693901,36.90279173
69,54.59705051,36.90280162
70,54.59716202,36.90281151
71,54.59727353,36.9028214
72,54.59738503,36.90283129
73,54.59749654,36.90284119
74,54.59754612,36.90284558
75,54.59755542,36.90270565
76,54.5975614,36.90261569
77,54.59756738,36.90252572
78,54.59757336,36.90243575
79,54.59757934,36.90234579
80,54.59758532,36.90225582
81,54.5975913,36.90216585
82,54.59759728,36.90207589
83,54.59760326,36.90198592
84,54.59760924,36.90189595
85,54.59761522,36.90180598
86,54.5976212,36.90171602
87,54.59762718,36.90162605
88,54.59763316,36.90153608
89,54.59763914,36.90144612
90,54.59764512,36.90135615
91,54.5976511,36.90126618
92,54.59765708,36.90117622
93,54.59766306,36.90108625
94,54.59766904,36.90099628
95,54.59767502,36.90090632
96,54.597681,36.90081635
97,54.59768697,36.90072638
98,54.59769295,36.90063642
99,54.59769893,36.90054645
100,54.59770491,36.90045648
101,54.59771089,36.90036652
102,54.59771687,36.90027655
103,54.59772285,36.90018658
104,54.59772883,36.90009661
105,54.59773481,36.90000665
106,54.59774079,36.89991668
107,54.59774677,36.89982671
108,54.59775275,36.89973675
109,54.59775873,36.89964678
110,54.59776471,36.89955681
111,54.59777069,36.89946685
112,54.59777667,36.89937688
113,54.59778265,36.89928691
114,54.59778862,36.89919695
115,54.5977946,36.89910698
116,54.59780058,36.89901701
117,54.59780656,36.89892705
118,54.59781254,36.89883708
119,54.59781852,36.89874711
120,54.5978245,36.89865714
121,54.59783048,36.89856718
122,54.59783646,36.89847721
123,54.59784244,36.89838724
124,54.59784842,36.89829728
125,54.5978544,36.89820731
126,54.59786037,36.89811734
127,54.59786434,36.89805329
128,54.5978572,36.8979374
129,54.59785143,36.89784742
130,54.59784566,36.89775745
131,54.59783989,36.89766747
132,54.59783412,36.89757749
133,54.59782835,36.89748752
134,54.59782258,36.89739754
135,54.59781739,36.89731736
136,54.59779086,36.89721977
137,54.5977669,36.89713175
138,54.59774293,36.89704374
139,54.59771897,36.89695572
140,54.597695,36.89686771
141,54.59767104,36.89677969
142,54.59764708,36.89669168
143,54.59762311,36.89660366
144,54.59759915,36.89651565
145,54.59757518,36.89642763
146,54.59755122,36.89633962
147,54.59752726,36.8962516
148,54.59749893,36.89614756
149,54.59741768,36.8961818
150,54.59731834,36.89622366
151,54.59721901,36.89626551
152,54.59711967,36.89630736
153,54.59702034,36.89634922
154,54.59691927,36.89638698
155,54.59680875,36.89640238
156,54.59669823,36.89641778
157,54.5965877,36.89643317
158,54.59647718,36.89644857
159,54.59636665,36.89646397
160,54.59625613,36.89647937
161,54.5961456,36.89649476
162,54.59603508,36.89651016
163,54.59592456,36.89652556
164,54.59581403,36.89654095
165,54.59570351,36.89655635
166,54.59559298,36.89657175
167,54.59548246,36.89658714
168,54.59537193,36.89660254
169,54.59526141,36.89661794
170,54.59515089,36.89663333
171,54.59504036,36.89664873
172,54.59492984,36.89666412
173,54.59481931,36.89667952
174,54.59470879,36.89669492
175,54.59459753,36.89670495
176,54.59445755,36.89671008
177,54.59439437,36.89666536
178,54.59431021,36.89660579
179,54.59422605,36.89654622
180,54.59412618,36.89650868
181,54.59401964,36.89648048
182,54.5939131,36.89645228
183,54.59380656,36.89642409
184,54.593696,36.89641012
185,54.59358475,36.89639857
186,54.5934735,36.89638703
187,54.59336225,36.89637548
188,54.593251,36.89636394
189,54.59313975,36.89635239
190,54.59307511,36.89634568
191,54.5929961,36.89623471
192,54.59294041,36.8961565
193,54.59288473,36.89607829
194,54.5928127,36.89600997
195,54.59273446,36.89594541
196,54.59265621,36.89588085
197,54.59257797,36.89581629
198,54.59248322,36.89576879
199,54.59238601,36.89572383
200,54.59228881,36.89567887
201,54.5921916,36.89563391
202,54.59209297,36.8955914
203,54.59198765,36.89556039
204,54.59188233,36.89552939
205,54.59177701,36.89549838
206,54.59167169,36.89546738
207,54.59156637,36.89543637
208,54.59145965,36.89541163
209,54.59134747,36.89541132
210,54.5912353,36.89541102
211,54.59112313,36.89541071
212,54.59104826,36.89541051
213,54.59101578,36.8955277
214,54.5909914,36.89561564
215,54.59096702,36.89570358
216,54.59094264,36.89579152
217,54.59091826,36.89587946
218,54.59089389,36.8959674
219,54.59086951,36.89605534
220,54.59084513,36.89614329
221,54.59082075,36.89623123
222,54.59079637,36.89631917
223,54.59077199,36.89640711
224,54.59073933,36.89652493
225,54.5907773,36.896576
226,54.59083481,36.89665336
227,54.59089231,36.89673071
228,54.59094982,36.89680807
229,54.59098043,36.89684923
230,54.59105782,36.89691195
231,54.59121014,36.89696688
232,54.59131241,36.8970039
233,54.59139332,36.8970332
234,54.5914115,36.89714106
235,54.59140365,36.89723093
236,54.59139581,36.89732081
237,54.59138796,36.89741068
238,54.59140993,36.89749631
239,54.59145578,36.89757853
240,54.5914818,36.89762519
241,54.59146312,36.89775338
242,54.59145008,36.89784287
243,54.59143704,36.89793235
244,54.591424,36.89802183
245,54.59141657,36.89811173
246,54.59140934,36.89820163
247,54.59140211,36.89829154
248,54.59139487,36.89838145
249,54.59138764,36.89847136
250,54.59138041,36.89856126
251,54.59137318,36.89865117
252,54.59136594,36.89874108
253,54.59135867,36.89883156
254,54.59132773,36.89891756
255,54.59129659,36.89900412
256,54.59126546,36.89909067
257,54.59123432,36.89917722
258,54.59120319,36.89926378
259,54.59117205,36.89935033
260,54.59114091,36.89943689
261,54.59111093,36.89952023
262,54.59109659,36.89961296
263,54.59108276,36.89970236
264,54.59106893,36.89979177
265,54.59105509,36.89988118
266,54.59104011,36.89997775
267,54.59105538,36.90005972
268,54.59107195,36.90014882
269,54.59108851,36.90023793
270,54.59110509,36.90032704
271,54.59112627,36.90041551
272,54.59114746,36.90050398
273,54.59116864,36.90059246
274,54.59118983,36.90068093
275,54.59121101,36.9007694
